SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0600, 6, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.01840000, -0.73949999, 0.01800000, -0.67259997, -0.00500000, 0.00400000, 0.00700000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.0400, 4, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.62909997, 0.76679999, 0.12340000, 0.02960000, -0.01000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.0500, 5, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.62909997, 0.76679999, 0.12340000, 0.02950000, -0.01500000, 0.00200000, -0.00100000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0700, 7, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.01830000, -0.73969996, 0.01810000, -0.67240000, 0.00000000, -0.00100000, 0.02700000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 8, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.01850000, -0.73989999, 0.01800000, -0.67219996, 0.00100000, 0.00300000, 0.02000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.0600, 6, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.62919998, 0.76679999, 0.12340000, 0.02940000, -0.01900000, 0.00500000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0900, 9, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.01860000, -0.74009997, 0.01790000, -0.67179996, 0.00600000, 0.00800000, -0.00100000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.0700, 7, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.62919998, 0.76669997, 0.12350000, 0.02920000, -0.02400000, 0.00500000, -0.00200000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1000, 10, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.01840000, -0.74039996, 0.01810000, -0.67159998, 0.01300000, 0.00700000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.0800, 8, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.62919998, 0.76669997, 0.12350000, 0.02910000, -0.02100000, 0.00400000, -0.00300000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1100, 11, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.01830000, -0.74049997, 0.01820000, -0.67149997, 0.00700000, 0.00100000, 0.00500000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.0900, 9, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.62919998, 0.76669997, 0.12350000, 0.02890000, -0.01500000, 0.00000000, -0.00200000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.1000, 10, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.62919998, 0.76669997, 0.12340000, 0.02880000, -0.00400000, -0.00500000, -0.00100000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.1100, 11, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.62919998, 0.76669997, 0.12340000, 0.02870000, 0.00300000, -0.00500000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.1200, 12, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.62919998, 0.76669997, 0.12329999, 0.02870000, 0.00400000, -0.00200000, 0.00100000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1200, 12, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.01830000, -0.74059999, 0.01820000, -0.67129999, -0.00300000, 0.00000000, -0.00200000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.1300, 13, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.62930000, 0.76669997, 0.12329999, 0.02860000, 0.00500000, -0.00200000, 0.00100000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1300, 13, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.01830000, -0.74089998, 0.01820000, -0.67100000, -0.00300000, 0.00100000, -0.00900000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.1400, 14, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.62930000, 0.76669997, 0.12320000, 0.02850000, 0.00500000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1400, 14, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.01820000, -0.74119997, 0.01830000, -0.67069995, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1500, 15, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.01820000, -0.74140000, 0.01830000, -0.67049998, 0.00000000, 0.00000000, 0.00500000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.1500, 15, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.62930000, 0.76669997, 0.12300000, 0.02850000, 0.00700000, 0.00300000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
